q,p_clean,p_corr,p_suff_best,p_nec_best
1,0.39990234375,0.017242431640625,0.275634765625,0.00875091552734375
2,0.91748046875,0.0240936279296875,0.74462890625,0.0164031982421875
3,0.7763671875,0.0098419189453125,0.70751953125,0.006214141845703125
4,0.96826171875,0.1368408203125,0.79150390625,0.105224609375
5,0.91943359375,0.0023422241210937,0.55029296875,0.002048492431640625
6,0.95263671875,0.371337890625,0.91162109375,0.269287109375
7,0.947265625,0.2054443359375,0.77099609375,0.1644287109375
8,0.1610107421875,0.0003678798675537,0.14892578125,0.0002008676528930664
9,0.947265625,0.2261962890625,0.8154296875,0.15087890625
10,0.93408203125,0.190185546875,0.89501953125,0.1588134765625
11,0.82470703125,0.0151519775390625,0.5732421875,0.01190185546875
12,0.9951171875,0.367431640625,0.89501953125,0.334716796875
13,0.92529296875,0.1190185546875,0.7314453125,0.10748291015625
14,0.422119140625,0.013763427734375,0.4658203125,0.0074310302734375
15,0.83544921875,0.0207061767578125,0.439208984375,0.01495361328125
16,0.407470703125,0.0068511962890625,0.1768798828125,0.00534820556640625
17,0.7900390625,0.0122909545898437,0.353759765625,0.0072174072265625
18,0.83984375,0.0594482421875,0.59765625,0.036041259765625
19,0.477783203125,0.0026073455810546,0.325927734375,0.0019359588623046875
20,0.931640625,0.275146484375,0.814453125,0.1766357421875
21,0.935546875,0.0100555419921875,0.64111328125,0.0079345703125
22,0.51953125,0.0003955364227294,0.21337890625,0.0002720355987548828
23,0.7998046875,0.0137939453125,0.52734375,0.01186370849609375
24,0.990234375,0.92724609375,0.98876953125,0.8681640625
25,0.9912109375,0.2042236328125,0.85693359375,0.1456298828125
26,0.87548828125,0.040008544921875,0.4638671875,0.0267791748046875
27,0.199951171875,0.0003755092620849,0.0960693359375,0.0003409385681152344
28,0.818359375,0.0199737548828125,0.415771484375,0.017486572265625
29,0.9833984375,0.64794921875,0.93359375,0.501953125
30,0.947265625,0.08917236328125,0.55224609375,0.08062744140625
31,0.94482421875,0.2017822265625,0.8017578125,0.1160888671875
32,0.958984375,0.03216552734375,0.69873046875,0.029327392578125
33,0.61083984375,0.0006079673767089,0.06060791015625,0.0006856918334960938
34,0.97265625,0.7646484375,0.97119140625,0.6875
35,0.9892578125,0.97265625,0.9931640625,0.94287109375
36,0.9736328125,0.1578369140625,0.75537109375,0.1414794921875
37,0.9287109375,0.0272064208984375,0.52099609375,0.0176239013671875
38,0.63623046875,0.02777099609375,0.51318359375,0.0152435302734375
39,0.96923828125,0.2119140625,0.89599609375,0.1983642578125
40,0.9970703125,0.95068359375,0.99267578125,0.92236328125
41,0.71630859375,0.0019569396972656,0.1578369140625,0.001262664794921875
42,0.0005116462707519,3.516674041748047e-06,0.0018167495727539062,3.337860107421875e-06
43,0.97900390625,0.01702880859375,0.669921875,0.014251708984375
44,0.55224609375,0.0015249252319335,0.1278076171875,0.0011119842529296875
45,0.9638671875,0.236083984375,0.8359375,0.1783447265625
46,0.95703125,0.07354736328125,0.6650390625,0.047576904296875
47,0.91748046875,0.54931640625,0.943359375,0.28564453125
48,0.6669921875,0.0075492858886718,0.273681640625,0.00560760498046875
49,0.9453125,0.04840087890625,0.53662109375,0.04205322265625
50,0.73583984375,0.0146255493164062,0.28759765625,0.0123291015625
51,0.98681640625,0.55322265625,0.92578125,0.5166015625
52,0.9912109375,0.568359375,0.93603515625,0.490966796875
53,0.9697265625,0.08526611328125,0.70703125,0.05975341796875
54,0.98681640625,0.0614013671875,0.63720703125,0.05950927734375
55,0.970703125,0.255859375,0.81982421875,0.1871337890625
56,0.93896484375,0.0109710693359375,0.28955078125,0.01078033447265625
57,0.701171875,0.0621337890625,0.50244140625,0.04205322265625
58,0.82861328125,0.0226593017578125,0.358154296875,0.0182647705078125
59,0.90283203125,0.031463623046875,0.54736328125,0.0289306640625
60,0.64892578125,0.02960205078125,0.55908203125,0.017242431640625
61,0.98193359375,0.275634765625,0.83837890625,0.208251953125
62,0.8916015625,0.287841796875,0.77294921875,0.2081298828125
63,0.94677734375,0.31884765625,0.87646484375,0.2481689453125
64,0.4619140625,0.0069656372070312,0.40576171875,0.0021533966064453125
65,0.33642578125,0.0018978118896484,0.311279296875,0.0011768341064453125
66,0.94970703125,0.56494140625,0.9462890625,0.412109375
67,0.947265625,0.03228759765625,0.787109375,0.025482177734375
68,0.92529296875,0.037322998046875,0.71875,0.026885986328125
69,0.99853515625,0.98583984375,0.99658203125,0.978515625
70,0.053955078125,0.00494384765625,0.2049560546875,0.003936767578125
71,0.90087890625,0.0096511840820312,0.76318359375,0.0049591064453125
72,0.61181640625,0.0119857788085937,0.66796875,0.006610870361328125
73,0.88037109375,0.0645751953125,0.73193359375,0.0469970703125
74,0.04443359375,0.000500202178955,0.0858154296875,0.00032806396484375
75,0.2064208984375,0.000981330871582,0.15966796875,0.0009822845458984375
76,0.243896484375,0.0159454345703125,0.375244140625,0.01104736328125
77,0.90283203125,0.2352294921875,0.79150390625,0.1383056640625
78,0.72119140625,0.013458251953125,0.53955078125,0.0113983154296875
79,0.9912109375,0.9677734375,0.99365234375,0.9423828125
80,0.99365234375,0.35986328125,0.958984375,0.26708984375
81,0.32861328125,0.0018444061279296,0.1234130859375,0.0009398460388183594
82,0.8740234375,0.0027008056640625,0.59912109375,0.0020694732666015625
83,0.449462890625,0.0116348266601562,0.31103515625,0.00884246826171875
84,0.76513671875,0.0487060546875,0.58642578125,0.03509521484375
85,0.98388671875,0.0097122192382812,0.7646484375,0.00858306884765625
86,0.9365234375,0.364013671875,0.87255859375,0.282470703125
87,0.66748046875,0.0005970001220703,0.29296875,0.0002956390380859375
88,0.84521484375,0.051055908203125,0.80908203125,0.027099609375
89,0.9755859375,0.0406494140625,0.8349609375,0.033477783203125
90,0.9033203125,0.1097412109375,0.876953125,0.0760498046875
91,0.75244140625,0.002267837524414,0.474365234375,0.00146484375
92,0.343505859375,0.031097412109375,0.64697265625,0.0196075439453125
93,0.89208984375,0.39990234375,0.9404296875,0.28369140625
94,0.9541015625,0.155029296875,0.87890625,0.1224365234375
95,0.345703125,0.0005507469177246,0.10968017578125,0.0005908012390136719
96,0.2919921875,0.0029239654541015,0.2220458984375,0.0027523040771484375
97,0.79150390625,0.030548095703125,0.52783203125,0.0211639404296875
98,0.95458984375,0.046875,0.8623046875,0.0279388427734375
99,0.97509765625,0.662109375,0.9482421875,0.55029296875
100,0.68798828125,0.0055885314941406,0.66943359375,0.00328826904296875
101,0.84619140625,0.0074195861816406,0.72216796875,0.0046234130859375
102,0.410888671875,1.1920928955078125e-07,0.0004143714904785156,5.960464477539063e-08
103,0.9287109375,0.0102767944335937,0.56640625,0.007144927978515625
104,0.7783203125,0.0164031982421875,0.7724609375,0.009246826171875
105,0.5439453125,0.0105667114257812,0.298828125,0.00841522216796875
106,0.98193359375,0.194091796875,0.94580078125,0.1142578125
107,0.890625,0.10845947265625,0.849609375,0.058685302734375
108,0.689453125,0.001678466796875,0.431396484375,0.0008406639099121094
109,0.880859375,0.146484375,0.8935546875,0.061187744140625
110,0.9970703125,0.8671875,0.97998046875,0.8486328125
111,0.48291015625,0.0016078948974609,0.260986328125,0.0010004043579101562
112,0.72119140625,0.0011539459228515,0.48193359375,0.00095367431640625
113,0.68017578125,0.072265625,0.7060546875,0.039642333984375
114,0.96728515625,0.46484375,0.96875,0.31982421875
115,0.482666015625,0.0024585723876953,0.161865234375,0.001453399658203125
116,0.98876953125,0.9443359375,0.98876953125,0.9228515625
117,0.221923828125,0.0010232925415039,0.1732177734375,0.0007891654968261719
118,0.869140625,0.119140625,0.8544921875,0.079345703125
119,0.68896484375,0.0056991577148437,0.3349609375,0.003765106201171875
120,0.0002049207687377,9.85860824584961e-05,0.014434814453125,6.74128532409668e-05
121,0.92578125,5.525350570678711e-05,0.059722900390625,7.37905502319336e-05
122,0.93359375,0.03643798828125,0.6591796875,0.02459716796875
123,0.9296875,0.0258026123046875,0.77197265625,0.01380157470703125
124,0.98974609375,0.4443359375,0.94140625,0.380859375
125,0.96435546875,0.470947265625,0.89599609375,0.29736328125
126,0.673828125,0.0643310546875,0.80517578125,0.031005859375
127,0.982421875,0.51953125,0.93017578125,0.404541015625
128,0.9775390625,0.6767578125,0.943359375,0.60595703125
129,0.86083984375,0.0286712646484375,0.75732421875,0.016937255859375
130,0.9521484375,0.401123046875,0.91162109375,0.3720703125
131,0.9912109375,0.1407470703125,0.88427734375,0.1087646484375
132,0.96484375,0.48583984375,0.935546875,0.32470703125
133,0.52001953125,0.1400146484375,0.900390625,0.07415771484375
134,0.685546875,0.043731689453125,0.6708984375,0.0278778076171875
135,0.1607666015625,0.0047607421875,0.465087890625,0.002758026123046875
136,0.7861328125,0.0280303955078125,0.55908203125,0.0200958251953125
137,0.72021484375,0.0113449096679687,0.8447265625,0.00566864013671875
138,0.86767578125,0.173583984375,0.8916015625,0.087646484375
139,0.4541015625,0.0401611328125,0.57958984375,0.019012451171875
140,0.88671875,0.08575439453125,0.85302734375,0.0731201171875
141,0.984375,0.17724609375,0.9306640625,0.10784912109375
142,0.9814453125,0.254638671875,0.91748046875,0.1739501953125
143,0.91943359375,0.0882568359375,0.82763671875,0.07415771484375
144,0.91162109375,0.0003085136413574,0.370849609375,0.0002015829086303711
145,0.03533935546875,0.0031986236572265,0.3603515625,0.0015993118286132812
146,0.73486328125,0.09417724609375,0.677734375,0.061553955078125
147,0.249755859375,0.0003523826599121,0.1907958984375,0.00017964839935302734
148,0.479248046875,0.0252838134765625,0.47119140625,0.020355224609375
149,0.95556640625,0.168701171875,0.91015625,0.10601806640625
150,0.63232421875,0.0013818740844726,0.388916015625,0.0010461807250976562
151,0.564453125,0.0027828216552734,0.1566162109375,0.00206756591796875
152,0.83642578125,0.09405517578125,0.87646484375,0.0634765625
153,0.98876953125,0.11785888671875,0.86474609375,0.10260009765625
154,0.99169921875,0.94189453125,0.9912109375,0.8974609375
155,0.485595703125,0.0056419372558593,0.391845703125,0.003734588623046875
156,0.86572265625,0.039031982421875,0.57421875,0.020172119140625
157,0.93359375,0.101318359375,0.8642578125,0.057708740234375
158,0.72900390625,0.0015621185302734,0.329345703125,0.0013561248779296875
159,0.06439208984375,0.0040855407714843,0.21923828125,0.002124786376953125
160,0.99365234375,0.8837890625,0.98388671875,0.80859375
161,0.814453125,0.0086898803710937,0.6572265625,0.00469207763671875
162,0.826171875,0.0073318481445312,0.6474609375,0.004322052001953125
163,0.6640625,0.0075187683105468,0.27294921875,0.00402069091796875
164,0.8916015625,0.0070915222167968,0.69921875,0.0060272216796875
